iter	Logloss
0	0.6856031461
1	0.6782307286
2	0.6713411346
3	0.6658525716
4	0.6596523417
5	0.653197243
6	0.6466532743
7	0.6403975526
8	0.6345660094
9	0.6291820507
10	0.6225777434
11	0.616978819
12	0.6116588595
13	0.6061067075
14	0.5996649772
15	0.5945258182
16	0.5880743195
17	0.5822280129
18	0.5779414324
19	0.5724012959
20	0.5677871716
21	0.5624954975
22	0.5575653235
23	0.5525571872
24	0.5482812112
25	0.5432872132
26	0.5388537299
27	0.5352156501
28	0.5305076569
29	0.5265047012
30	0.5235646083
31	0.5196268126
32	0.5151098217
33	0.5114536789
34	0.5072406813
35	0.5039696613
36	0.5009834205
37	0.497466532
38	0.4933342687
39	0.4901956747
40	0.4874083951
41	0.4850660642
42	0.4820589508
43	0.4794421289
44	0.4767379167
45	0.474342204
46	0.4717448945
47	0.4690913351
48	0.4669854587
49	0.4641366959
50	0.4612496049
51	0.45865897
52	0.4559669677
53	0.4534559076
54	0.4515480165
55	0.4486190919
56	0.44636548
57	0.4441834218
58	0.4426747091
59	0.441216646
60	0.4385739656
61	0.4367582024
62	0.433912014
63	0.43226064
64	0.4304726452
65	0.4281618299
66	0.4256677917
67	0.4234697076
68	0.4217370648
69	0.4196585282
70	0.4180472513
71	0.4168214897
72	0.4144535649
73	0.412543534
74	0.4111916996
75	0.4091052357
76	0.4078209152
77	0.4056367255
78	0.4038219025
79	0.4020622053
80	0.4002575991
81	0.3981693516
82	0.3960921617
83	0.3946330583
84	0.393110342
85	0.3907653226
86	0.3894378246
87	0.3877054496
88	0.3865531859
89	0.3853003128
90	0.3839860538
91	0.3826384475
92	0.3815521546
93	0.3806704308
94	0.3790290511
95	0.3779750563
96	0.3761114654
97	0.374923751
98	0.3736809406
99	0.3727373444
100	0.3716496721
101	0.370811978
102	0.3695762634
103	0.3680898155
104	0.3670967437
105	0.3657043626
106	0.3645598264
107	0.3636182046
108	0.3625936843
109	0.3616928116
110	0.3603915025
111	0.3589191457
112	0.358210895
113	0.3567193609
114	0.3552214722
115	0.3540250197
116	0.3526106505
117	0.3519320403
118	0.3512367805
119	0.3502945257
120	0.3495477738
121	0.3484820342
122	0.3471976123
123	0.3458622282
124	0.3451220973
125	0.3443011969
126	0.3431281423
127	0.3423023459
128	0.3413036106
129	0.3401689945
130	0.3396800397
131	0.3389823867
132	0.3381882085
133	0.3372094658
134	0.3365380882
135	0.3349705794
136	0.334090063
137	0.3326117824
138	0.3319963646
139	0.3312625614
140	0.3304511792
141	0.329675747
142	0.3291917954
143	0.3278346515
144	0.3272398383
145	0.3266722757
146	0.3255547554
147	0.3247081591
148	0.3241041111
149	0.3231632801
150	0.3216663192
151	0.3210635577
152	0.3203664339
153	0.3196943374
154	0.3186351666
155	0.3179785568
156	0.3171404646
157	0.316401183
158	0.3154834523
159	0.3147392301
160	0.3141654617
161	0.3133743034
162	0.3126745169
163	0.3121159271
164	0.311628227
165	0.3111157505
166	0.3104434955
167	0.3096172466
168	0.3090837778
169	0.3079864468
170	0.3073970912
171	0.3066368859
172	0.3060221844
173	0.3054606148
174	0.3047949053
175	0.3042072849
176	0.3036534777
177	0.3027880349
178	0.3022753768
179	0.3011367903
180	0.3006030378
181	0.3000346033
182	0.2991048625
183	0.2985949345
184	0.298175831
185	0.2976923204
186	0.2969893611
187	0.2963388325
188	0.295517329
189	0.2945906465
190	0.2938876691
191	0.29346683
192	0.2928281975
193	0.2922838266
194	0.2917869465
195	0.2911897958
196	0.290659441
197	0.290209115
198	0.2897651567
199	0.2890016057
200	0.2887848198
201	0.2882265559
202	0.2878256781
203	0.2872978355
204	0.2866872717
205	0.2863128307
206	0.285791501
207	0.2851109414
208	0.2846259688
209	0.284018093
210	0.2836085969
211	0.2830199645
212	0.2826684876
213	0.2822696687
214	0.2815916913
215	0.2811132579
216	0.2808152497
217	0.2802432652
218	0.2796600813
219	0.279096544
220	0.2786823169
221	0.278087952
222	0.2777124002
223	0.2772933788
224	0.2768232821
225	0.2763643808
226	0.2760255998
227	0.2756331771
228	0.2752498002
229	0.2748409819
230	0.2745125843
231	0.2741052982
232	0.2737603492
233	0.2733258347
234	0.2729254329
235	0.2725927643
236	0.2723550149
237	0.2719791373
238	0.27136959
239	0.2706382349
240	0.2701077547
241	0.2697460104
242	0.2692370708
243	0.268890879
244	0.2684773649
245	0.2679634313
246	0.2674928159
247	0.2671877874
248	0.2667649997
249	0.2662561733
250	0.2658944238
251	0.2654922151
252	0.2651165859
253	0.2647560234
254	0.2643844081
255	0.2638578386
256	0.2635711206
257	0.263146876
258	0.262566596
259	0.2621933494
260	0.2618749669
261	0.2614881819
262	0.2611464327
263	0.2605204867
264	0.260095069
265	0.2597959989
266	0.2594001433
267	0.2589974214
268	0.2584217497
269	0.2581650403
270	0.257733545
271	0.2573463418
272	0.2567968032
273	0.2564025018
274	0.2560579108
275	0.255850178
