iter	Passed	Remaining
428	1786	2377
429	1791	2375
430	1796	2371
431	1800	2366
432	1803	2362
433	1807	2357
434	1811	2353
435	1815	2348
436	1819	2343
437	1823	2339
438	1828	2336
439	1831	2331
440	1835	2326
441	1839	2321
442	1843	2317
443	1846	2312
444	1850	2308
445	1855	2304
446	1860	2301
447	1863	2296
448	1867	2292
449	1871	2287
450	1875	2283
451	1879	2278
452	1883	2274
453	1887	2270
454	1891	2265
455	1895	2261
456	1899	2256
457	1903	2252
458	1907	2247
459	1911	2243
460	1915	2239
461	1919	2234
462	1923	2230
463	1926	2226
464	1930	2221
465	1934	2216
466	1939	2213
467	1943	2209
468	1948	2205
469	1953	2202
470	1957	2198
471	1961	2193
472	1964	2189
473	1968	2184
474	1972	2180
475	1976	2175
476	1980	2171
477	1984	2167
478	1988	2163
479	1992	2158
480	1996	2154
481	2000	2149
482	2004	2145
483	2008	2141
484	2011	2136
485	2016	2132
486	2023	2131
487	2030	2129
488	2036	2128
489	2043	2127
490	2050	2125
491	2058	2125
492	2063	2121
493	2068	2118
494	2078	2120
495	2083	2117
496	2089	2114
497	2094	2111
498	2101	2109
499	2109	2109
500	2115	2107
501	2123	2106
502	2130	2105
503	2138	2104
504	2145	2103
505	2150	2099
506	2156	2097
507	2162	2094
508	2167	2090
509	2171	2086
510	2175	2081
511	2179	2077
512	2182	2072
513	2187	2068
514	2191	2063
515	2194	2058
516	2198	2054
517	2202	2049
518	2207	2045
519	2211	2040
520	2214	2036
521	2218	2031
522	2222	2027
523	2226	2022
524	2230	2017
525	2234	2013
526	2238	2009
527	2242	2004
528	2246	2000
529	2250	1995
530	2254	1990
531	2257	1986
532	2261	1981
533	2265	1976
534	2269	1972
535	2273	1967
536	2277	1963
537	2280	1958
538	2286	1955
539	2291	1951
540	2294	1947
541	2299	1943
542	2303	1938
543	2307	1933
544	2310	1929
545	2315	1925
546	2319	1920
547	2323	1916
548	2327	1911
549	2330	1907
550	2335	1902
551	2338	1898
552	2342	1893
553	2346	1889
554	2350	1884
555	2354	1880
556	2358	1875
557	2363	1871
558	2367	1867
559	2371	1862
560	2374	1858
561	2378	1853
562	2382	1849
563	2386	1844
564	2390	1840
565	2394	1835
566	2398	1831
567	2402	1827
568	2405	1822
569	2409	1818
570	2413	1813
571	2417	1809
572	2421	1804
573	2426	1800
574	2430	1796
575	2434	1791
576	2438	1787
577	2442	1783
578	2447	1779
579	2451	1775
580	2455	1770
581	2459	1766
582	2463	1761
583	2466	1757
584	2470	1752
585	2474	1748
586	2479	1744
587	2483	1739
588	2486	1735
589	2490	1730
590	2495	1726
591	2500	1723
592	2503	1718
593	2507	1713
594	2511	1709
595	2515	1705
596	2519	1700
597	2523	1696
598	2527	1692
599	2531	1687
600	2535	1683
601	2539	1678
602	2543	1674
603	2547	1670
604	2551	1665
605	2555	1661
606	2559	1656
607	2563	1652
608	2567	1648
609	2571	1643
610	2574	1639
611	2579	1635
612	2582	1630
613	2586	1626
614	2590	1621
615	2595	1617
616	2598	1613
617	2602	1608
618	2606	1604
619	2610	1599
620	2614	1595
621	2618	1591
622	2621	1586
623	2626	1582
624	2629	1577
625	2633	1573
626	2637	1568
627	2641	1564
628	2645	1560
629	2649	1555
630	2653	1551
631	2657	1547
632	2662	1543
633	2665	1538
634	2669	1534
635	2673	1529
636	2677	1525
637	2680	1521
638	2684	1516
639	2688	1512
640	2692	1507
641	2696	1503
642	2701	1499
643	2705	1495
644	2709	1491
645	2713	1487
646	2717	1482
647	2721	1478
648	2725	1473
649	2729	1469
650	2732	1465
651	2736	1460
652	2740	1456
653	2744	1452
654	2748	1447
655	2752	1443
656	2756	1439
657	2760	1434
658	2764	1430
659	2768	1426
660	2772	1422
661	2777	1418
662	2781	1413
663	2785	1409
664	2789	1405
665	2793	1400
666	2797	1396
667	2801	1392
668	2805	1387
669	2808	1383
670	2812	1379
671	2816	1374
672	2820	1370
673	2824	1366
674	2828	1361
675	2832	1357
676	2836	1353
677	2839	1348
678	2843	1344
679	2847	1339
680	2851	1335
681	2855	1331
682	2859	1327
683	2863	1322
684	2867	1318
685	2871	1314
686	2875	1309
687	2878	1305
688	2882	1301
689	2886	1297
690	2890	1292
691	2894	1288
692	2898	1284
693	2904	1280
694	2908	1276
695	2911	1271
696	2915	1267
697	2920	1263
698	2923	1259
699	2927	1254
700	2931	1250
701	2937	1247
702	2941	1242
703	2945	1238
704	2949	1234
705	2953	1229
706	2957	1225
707	2961	1221
708	2965	1217
709	2969	1213
710	2973	1208
711	2977	1204
712	2981	1200
713	2985	1195
714	2989	1191
715	2992	1187
716	2996	1182
717	3000	1178
718	3004	1174
719	3008	1169
720	3012	1165
721	3015	1161
722	3019	1156
723	3023	1152
724	3027	1148
725	3031	1144
726	3035	1139
727	3038	1135
728	3042	1131
729	3046	1126
730	3050	1122
731	3054	1118
732	3059	1114
733	3062	1109
734	3066	1105
735	3070	1101
736	3074	1097
737	3078	1092
738	3082	1088
739	3086	1084
740	3090	1080
741	3094	1075
742	3098	1071
743	3102	1067
744	3107	1063
745	3111	1059
746	3115	1055
747	3119	1050
748	3123	1046
749	3126	1042
750	3130	1038
751	3135	1033
752	3140	1029
753	3146	1026
754	3153	1023
755	3160	1020
756	3167	1016
757	3173	1013
758	3180	1009
759	3185	1005
760	3190	1002
761	3195	998
762	3200	994
763	3205	990
764	3210	986
765	3217	982
766	3222	979
767	3229	975
768	3236	972
769	3242	968
770	3250	965
771	3256	961
772	3266	959
773	3271	955
774	3278	951
775	3283	947
776	3288	943
777	3292	939
778	3296	935
779	3300	930
780	3304	926
781	3308	922
782	3312	917
783	3315	913
