iter	Logloss
0	0.6856052433
1	0.6782375369
2	0.6713547074
3	0.6658720111
4	0.659678576
5	0.6532309685
6	0.6466936934
7	0.6404429767
8	0.6346142479
9	0.6292329876
10	0.6226290617
11	0.6170298673
12	0.611708955
13	0.6061549772
14	0.5997112567
15	0.5945695183
16	0.5881154302
17	0.5822667667
18	0.5779788308
19	0.5724356005
20	0.5678200181
21	0.562526483
22	0.5575953742
23	0.5525855907
24	0.548308087
25	0.5433126867
26	0.5388785238
27	0.5352392768
28	0.5305299431
29	0.526526094
30	0.5235852287
31	0.5196465201
32	0.5151291708
33	0.5114729159
34	0.5072590072
35	0.5039875744
36	0.5010008561
37	0.4974831681
38	0.4933508002
39	0.4902123615
40	0.4874246748
41	0.4850819944
42	0.4820739946
43	0.4794566185
44	0.4767521131
45	0.4743558334
46	0.4717585278
47	0.4691047228
48	0.4669988681
49	0.4641497612
50	0.4612630526
51	0.4586723056
52	0.455980117
53	0.4534695825
54	0.4515619097
55	0.4486335169
56	0.4463802493
57	0.4441980196
58	0.4426891796
59	0.4412311085
60	0.4385884876
61	0.4367727055
62	0.4339261381
63	0.432274376
64	0.4304862672
65	0.4281755566
66	0.4256820149
67	0.4234834749
68	0.4217514513
69	0.4196736153
70	0.4180627158
71	0.4168369789
72	0.4144679979
73	0.4125574227
74	0.4112055869
75	0.4091191545
76	0.4078348687
77	0.4056509106
78	0.4038365018
79	0.4020772207
80	0.4002731472
81	0.3981854522
82	0.3961087741
83	0.3946499186
84	0.3931278252
85	0.3907836397
86	0.3894563294
87	0.3877243039
88	0.3865726382
89	0.3853199337
90	0.3840059662
91	0.3826586773
92	0.3815724517
93	0.3806910629
94	0.3790493282
95	0.3779953391
96	0.3761319029
97	0.3749440924
98	0.3737014993
99	0.3727580427
100	0.3716705591
101	0.3708329
102	0.3695976291
103	0.3681114622
104	0.367118728
105	0.3657264725
106	0.3645820195
107	0.363640197
108	0.3626157775
109	0.3617147389
110	0.3604125924
111	0.3589395462
112	0.3582308739
113	0.3567389432
114	0.3552410177
115	0.3540451484
116	0.3526313523
117	0.3519531549
118	0.3512579674
119	0.3503154764
120	0.3495689912
121	0.3485034445
122	0.3472193418
123	0.3458836995
124	0.3451436161
125	0.3443229044
126	0.3431494242
127	0.3423239834
128	0.341325046
129	0.3401909775
130	0.3397020268
